ID;UNIDADE;NOME;COD;QUEST
1;BV;1 ANO A;1A;1
2;BV;1 ANO B;1B;1
3;BV;2 ANO A;2A;1
4;BV;3 ANO A;3A;2
5;CF;1 ANO A;1A;1
6;CF;1 ANO B;1B;1
7;CF;1 ANO C;1C;1
8;CF;1 ANO D;1D;1
9;CF;2 ANO A;2A;1
10;CF;2 ANO B;2B;1
11;CF;2 ANO C;2C;1
12;CF;2 ANO D;2D;1
13;CF;3 ANO A;3A;2
14;CF;3 ANO B;3B;2
15;CF;3 ANO C;3C;2
16;BV;6 ANO A;6A;1
17;BV;6 ANO B;6B;1
18;BV;6 ANO C;6C;1
19;BV;7 ANO A;7A;1
20;BV;7 ANO B;7B;1
21;BV;8 ANO A;8A;1
22;BV;8 ANO B;8B;1
23;BV;9 ANO A;9A;1
24;BV;9 ANO B;9B;1
25;CF;6 ANO A;6A;1
26;CF;6 ANO B;6B;1
27;CF;7 ANO A;7A;1
28;CF;7 ANO B;7B;1
29;CF;8 ANO A;8A;1
30;CF;8 ANO B;8B;1
31;CF;8 ANO C;8C;1
32;CF;9 ANO A;9A;1
33;CF;9 ANO B;9B;1
34;CF;9 ANO C;9C;1
